Kingdom,Phylum,Class,Order,Family,Tax_label,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Chloroflexi,Anaerolineae,SBR1031,SBR1031,*Anaerolineae* (*SBR1031*),0,0,350,0
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Genus of *Leptotrichiaceae*,350,0,0,0
Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,*Polyangiales* (*BIrii41*),350,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,*Butyricimonas*,340,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,*Clostridiaceae* (*Clostridium_sensu_stricto_13*),190,140,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,*Paeniclostridium*,140,80,0,110
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,*Lewinella*,0,320,0,0
Bacteria,Firmicutes,Clostridia,Clostridia,Hungateiclostridiaceae,Genus of *Hungateiclostridiaceae*,250,0,70,0
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,*Cutibacterium*,0,310,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,*Anaerospora*,280,30,0,0
Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,*Longivirga*,0,0,300,0
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Genus of *Reyranellaceae*,0,120,0,180
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,FFCH9454,*Sphingobacteriales* (*FFCH9454*),0,290,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Genus of *Gallionellaceae*,0,0,0,290
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,*Fibrella*,280,0,0,0
Bacteria,Cyanobacteria,Cyanobacteriia,Limnotrichales,Limnotrichaceae,*Limnothrix*,280,0,0,0
Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,*Izemoplasmataceae*,280,0,0,0
