Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Chloroflexi,Dehalococcoidia,Sh765B-AG-111,*Sh765B-AG-111*,0.04,0.04,0,0,0,0
Bacteria,Nitrospirota,Thermodesulfovibrionia,Order of Thermodesulfovibrionia,*Family* (*of*) Thermodesulfovibrionia,0.05,0.01,0,0.01,0,0.01
Bacteria,Zixibacteria,Zixibacteria,Zixibacteria,*Zixibacteria*,0.05,0.01,0,0,0,0
Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,*Subgroup_5*,0.07,0,0,0,0,0
Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,*Latescibacterota*,0.06,0.01,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,*Ga0077536*,0.07,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,*Family* (*of*) Dehalococcoidales,0.02,0.04,0,0,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,*Woeseiaceae*,0.07,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Staphylococcales,*Staphylococcaceae*,0.02,0.01,0.01,0.01,0.01,0.01
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Cryomorphaceae*,0.07,0,0,0,0,0
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,*Candidatus_Woesebacteria*,0.04,0.02,0,0,0,0.01
Bacteria,Myxococcota,Myxococcia,Myxococcales,*Myxococcaceae*,0.06,0.01,0,0,0,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Parachlamydiaceae*,0.06,0.01,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,*Family* (*of*) Acidobacteriales,0.07,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Burkholderiaceae*,0.05,0,0.01,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,*Alcanivoracaceae*,0.03,0.02,0.01,0,0,0
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Rubinisphaeraceae*,0.05,0,0,0,0.01,0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Family* (*of*) Chitinophagales,0.06,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Jorgensenbacteria,*Candidatus_Jorgensenbacteria*,0.05,0.01,0,0,0,0
